Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Culman M., Portocarrero J.M.T., Guerrero C.D., Bayona C., Torres J.L., De Farias C.M.","56205876200;55364756600;23094317500;57194770719;57195505052;35519418700;","PalmNET: An open-source wireless sensor network for oil palm plantations",2017,"Proceedings of the 2017 IEEE 14th International Conference on Networking, Sensing and Control, ICNSC 2017",,,"8000190","783","788",,4,"10.1109/ICNSC.2017.8000190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028514099&doi=10.1109%2fICNSC.2017.8000190&partnerID=40&md5=e1f3f438f5dd4d72b0be0b1d4b632b6c",,"Data visualization; Gateways (computer networks); Moisture; Open source software; Open systems; Palm oil; Sensor nodes; Soil moisture; Soils; Solar energy; Web services; Wireless sensor networks; Zigbee; Monitoring system; Oil palm plantations; Open sources; Open-source hardwares; Proof of concept; Solar-powered; WEB application; ZigBee networks; Soil surveys",Conference Paper,"Final","",Scopus,2-s2.0-85028514099
"Ahmad A.F., Abbas Z., Abrass H.A., You K.Y.","56988423800;7005822035;56741482200;56023730400;","Optimum design of a microstrip ring resonator sensor to determine the moisture content in oil palm fruits and seeds",2019,"BioResources","14","1",,"1819","1837",,4,"10.15376/biores.14.1.1819-1837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061326616&doi=10.15376%2fbiores.14.1.1819-1837&partnerID=40&md5=772df42d284ca88cb80c0cdd1fed7c55","Microstrip ring; Microwave; Moisture content; Network analyzer; Oil palm","Electric network analyzers; Electromagnetic fields; Fruits; Microwaves; Moisture; Moisture determination; Optical resonators; Automated detection; Coaxial feeders; Conventional methods; Measurement system; Microstrip ring; Microstrip ring resonator; Oil palm; Optimum designs; Palm oil",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85061326616
"Hawari H.F., Samsudin N.M., Shakaff A.Y.Md., Wahab Y., Hashim U., Zakaria A., Ghani S.A., Ahmad M.N.","55193221900;55193191300;8721012500;6507764452;22633937800;36560557700;24077329600;7402896132;","Highly selective molecular imprinted polymer (MIP) based sensor array using interdigitated electrode (IDE) platform for detection of mango ripeness",2013,"Sensors and Actuators, B: Chemical","187",,,"434","444",,28,"10.1016/j.snb.2013.01.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885470915&doi=10.1016%2fj.snb.2013.01.045&partnerID=40&md5=47fc3d048e6c75ae4bb4480637f207b7","Fruit ripeness; Gas sensor; Mango volatiles; Molecularly imprinted polymer; Sensor array","Capacitance; Chemical sensors; Electrodes; Integrodifferential equations; Molecules; Plastic bottles; Polymers; Sensor arrays; Computational modelling; Fruit ripeness; Interdigitated electrodes; Mango volatiles; Molecular imprinted polymer (MIP); Molecularly Imprinted Polymer; Polyethylene terephthalates (PET); Sensor implementation; Fruits",Article,"Final","",Scopus,2-s2.0-84885470915
"Aziz A.H.A., Ismail A.H., Ahmad R.B., Isa C.M.N.C., Farook R.S.M., Husin Z., Ezanuddin A.A.M., Shakaff A.Y.Md.","7103371906;35317988700;57194844651;55192970800;26428761700;57201059019;27367680400;8721012500;","Design of a capacitive sensor for oil palm fresh fruit bunch maturity grading",2011,"2014 2nd International Conference on Electronic Design, ICED 2014",,,"7015846","443","445",,4,"10.1109/ICED.2014.7015846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949924480&doi=10.1109%2fICED.2014.7015846&partnerID=40&md5=bec959b848754c98391cb5956d412d28","capacitive sensor; dielectric sensor; FFB grading; palm oil maturity","Dielectric devices; Dielectric materials; Fruits; Grading; Oil shale; Palm oil; Automatic grading; Capacitance voltage; Capacitive plate; Capacitive response; Capacitive sensing; Dielectric sensors; Fresh fruits; Sinusoidal frequency; Capacitive sensors",Conference Paper,"Final","",Scopus,2-s2.0-84949924480
"Chan Y.-K., Chung B.-K., Chuah H.-T.","9243982200;57201190834;7005188026;","Transmitter and receiver design of an experimental airborne synthetic aperture radar sensor",2004,"Progress in Electromagnetics Research","49",,,"203","218",,27,"10.2528/PIER04031601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34147163185&doi=10.2528%2fPIER04031601&partnerID=40&md5=e65df6faab1af2263f0053400894e241",,"Airborne synthetic aperture radars; Design and Development; Dihedral corner reflector; External calibration; Monitoring and management; Oil palm plantations; Single polarization; Transmitter and receiver; Palm oil; Radar antennas; Radar cross section; Radar equipment; Radar target recognition; Sensors; Transmitters; Synthetic aperture radar",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-34147163185
"Kassim M.R.M., Harun A.N.","54790880800;56102099800;","Using Wireless Sensor Network to determine pollination readiness of oil palm flower",2016,"Proceedings of the International Conference on Sensing Technology, ICST","2016-March",,"7438365","59","64",,7,"10.1109/ICSensT.2015.7438365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964801365&doi=10.1109%2fICSensT.2015.7438365&partnerID=40&md5=dc5eee11a8a361dffc3dcbfd4be93b80","palm oil; pollination; Precision Agriculture; WSN","Cell proliferation; Gateways (computer networks); Humidity control; Network architecture; Plants (botany); Precision agriculture; Wireless sensor networks; Essential services; Female reproductive organs; Fertilisation; Fruit development; Male reproductive organs; Oil industries; pollination; Wireless sensor; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-84964801365
"Hasanuddin N.H., Wahid M.H.A., Shahimin M.M., Hambali N.A.M.A., Nazir N.S., Khairuddin N.Z., Ramli M.M., Isa S.S.M.","57191665015;54785423400;37018545000;27567626900;57191665766;57191646995;55891565000;54790959500;","Design and Development of ZnO Based Gas Sensor for Fruit Ripening Detection",2016,"MATEC Web of Conferences","78",,"01109","","",,2,"10.1051/matecconf/20167801109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992349068&doi=10.1051%2fmatecconf%2f20167801109&partnerID=40&md5=50326a2658216087803e78454d918961",,"Ethylene; Gas detectors; Gas sensing electrodes; Manufacture; Zinc oxide; Computational approach; Design and Development; Detection system; Gas sensing applications; Maturity stages; Non destructive; Piezoelectric substrates; Sensitive layers; Fruits",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-84992349068
"Filoteo-Razo J.D., Estudillo-Ayala J.M., Hernández-Garcia J.C., Trejo-Durán M., Muñoz-Lopez A., Jauregui-Vázquez D., Rojas-Laguna R.","56071462500;55995932000;23103022100;8569102600;56690270000;55184028300;6603762941;","RGB color sensor implemented with LEDs",2015,"Proceedings of SPIE - The International Society for Optical Engineering","9571",,"95710V","","",,4,"10.1117/12.2188243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952055305&doi=10.1117%2f12.2188243&partnerID=40&md5=a7a9b0d30daef1702a1a429009804e61","Color sensor; digital current source; RGB LED","Color; Colorimetry; Fruits; Light reflection; Lighting; Color sensors; Current sources; Data collection; Design and implementations; Graphic interfaces; Plastic optic fibers; Power emission; RGB LED; Light emitting diodes",Conference Paper,"Final","",Scopus,2-s2.0-84952055305
"Yee L.K., Abbas Z., Jusoh M.A., Yeow Y.K., Meng C.E.","35331385800;7005822035;56878665900;56023730400;57219023469;","Determination of moisture content in oil palm fruits using a five-port reflectometer",2011,"Sensors","11","4",,"4073","4085",,28,"10.3390/s110404073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953851714&doi=10.3390%2fs110404073&partnerID=40&md5=331d60ee38df40cc7f43d27807420d1f","Coaxial sensor; Data acquisition; Five-port reflectometer; Graphical programming; Moisture; Monopole sensor","water; article; chemistry; computer; computer program; fruit; human; microwave radiation; tree; Computers; Fruit; Humans; Microwaves; Software; Trees; Water",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-79953851714
"Misron N., Ibrahim N.A., Azhar N.S.K., Saini L.M., Vaithilingam C.A., Tashiro K., Nagata H.","6505728008;57263770700;57213002687;57220103309;57226896977;7202069301;57205762695;","Implementation of Four Terminal Fruit Battery with Charge Switching",2021,"IEEE Access",,,,"","",,,"10.1109/ACCESS.2021.3112708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115138153&doi=10.1109%2fACCESS.2021.3112708&partnerID=40&md5=b95da668f8a63809f07a1cfe9c712d5c","Batteries; fresh fruit bunches; fruit battery; Moisture; oil palm maturity sensor; Oils; Resistance; Sensitivity; sensor voltage; Switches; Voltage","Electric batteries; Fruits; Grading; Moisture; Petroleum industry; Fresh fruits; Gross domestic products; Load voltages; Moisture range; New approaches; Oil extraction rates; Oil palm fruits; Single terminal; Palm oil",Article,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85115138153
"Hazir M.H.M., Shariff A.R.M.","57205175874;13612157400;","Oil palm physical and optical characteristics from two different: Planting materials",2011,"Research Journal of Applied Sciences, Engineering and Technology","3","9",,"953","962",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555204739&partnerID=40&md5=d93425cb5c432a6a4fea9e3fa6060d3c","Oil palm FFB; Optical sensor; Physical characteristics; RGB digital number; Tenera","Active optical sensors; Anthocyanin content; Color information; Digital numbers; Fresh fruits; Linear dimensions; Multiband; Non-contact; Non-destruction; Oil palm; Optical characteristics; Physical characteristics; Planting materials; Tenera; Anthocyanins; Chlorophyll; Computer vision; Optical sensors; Optical materials",Article,"Final","",Scopus,2-s2.0-82555204739
"Abdullah H., Zanal A., Taib M.N., Noordin I.R.M., Ali W.K.W., Ariffin R., Abdullah S., Baharudin R., Abdullah A.T.","7004172391;55232351500;56216710600;55232787700;7004926710;36068821600;57189289955;55234412600;55232596600;","Microwave absorber coating material using oil palm ash",2012,"Advanced Materials Research","512-515",,,"1941","1944",,4,"10.4028/www.scientific.net/AMR.512-515.1941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861650381&doi=10.4028%2fwww.scientific.net%2fAMR.512-515.1941&partnerID=40&md5=0ea3677f71d977b7b24449774285806f","Microwave absorber; Microwave absorbing material; Oil palm ash absorbent material","Absorbent materials; Accurate analysis; Broadband frequency; CST microwave studio; Design and simulation; High frequency devices; Microwave absorbers; Microwave absorbing materials; Number of layers; Oil palm; Oil palm ash; Simulation Design; Software use; Coatings; Fly ash; Microwaves",Conference Paper,"Final","",Scopus,2-s2.0-84861650381
"Jayaselan H.A.J., Ismail W.I.W., Ahmad D.","40761544000;6603897473;7006597524;","Manipulator automation for Fresh Fruit Bunch (FFB) harvester",2012,"International Journal of Agricultural and Biological Engineering","5","1",,"7","12",,1,"10.3965/j.ijabe.20120501.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859056471&doi=10.3965%2fj.ijabe.20120501.002&partnerID=40&md5=c8562f87b4d9570396ae95b540f3b173","Automation; FFB; Interface; Manipulator","Arecaceae; Elaeis",Article,"Final","",Scopus,2-s2.0-84859056471
"Amirruddin A.D., Muharamand F.M., Zaharah A.R.","56572827000;56403414900;6602368799;","Evaluation of multiple proximal sensors for estimating nitrogen nutritional content of matured oil palm",2014,"Asian Journal of Plant Sciences","13","4",,"136","146",,6,"10.3923/ajps.2014.136.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925620420&doi=10.3923%2fajps.2014.136.146&partnerID=40&md5=fef0efd251c97b75abfca5868b232b23","Diameter; Height; LAI; SPAD; Spectroradiometer","Elaeis",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84925620420
"Surya Kiran M., Niranjana G.","57200853078;56635856200;","A research on fruit maturity detection techniques",2019,"International Journal of Innovative Technology and Exploring Engineering","8","6 Special Issue 4",,"1470","1473",,,"10.35940/ijitee.F1300.0486S419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071436380&doi=10.35940%2fijitee.F1300.0486S419&partnerID=40&md5=6d95c0169bc33547f9553a1883c31c6f","Image processing; RGB; Sensors",,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85071436380
"Surya Kiran M., Niranjana G.","57200853078;56635856200;","A review on fruit maturity detection techniques",2019,"International Journal of Innovative Technology and Exploring Engineering","8","6",,"444","447",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067348469&partnerID=40&md5=f162e4c34731ac21022549ab470427f6","Image processing; RGB; Sensors",,Article,"Final","",Scopus,2-s2.0-85067348469
"Noordin I.R.M., Abdullah Idris H., Taib M.N., Md Sharif J., Rosli A.D., Zanal A., Abdullah A.T.","55232787700;7004172391;56216710600;55232351400;55781014300;55232351500;55232596600;","Investigation of oil palm ash microwave absorber for broadband application",2012,"Proceedings - 2012 IEEE 8th International Colloquium on Signal Processing and Its Applications, CSPA 2012",,,"6194724","232","235",,12,"10.1109/CSPA.2012.6194724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861541196&doi=10.1109%2fCSPA.2012.6194724&partnerID=40&md5=ddb92611e5d643d697f1b125104cc6dd","anechoic chamber; broadband; microwave absorber","broadband; Broadband applications; Broadband frequency; CST microwave studio; Microwave absorbers; Microwave absorbing materials; Oil palm ash; Anechoic chambers; Magnetic materials; Signal processing; Microwaves",Conference Paper,"Final","",Scopus,2-s2.0-84861541196
"Ishak W.I.W., Hudzari R.M.","7004616193;57203644974;","Image based modeling for oil palm fruit maturity prediction",2010,"Journal of Food, Agriculture and Environment","8","2",,"469","476",,24,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952815483&partnerID=40&md5=b2eb758803ca2746c3286ae207108cd0","Day estimation for harvesting; Maturity prediction; Mesocarp oil content; Oil palm optical properties","palm oil; analog digital converter; article; camera; computer program; elaeis guineensis; fruit color; fruit development; fruit morphology; fruit ripening; image analysis; imaging; nonhuman; plant; plantation; regression analysis; Soxhlet extraction; surface property; validation process; Elaeis; Elaeis guineensis",Article,"Final","",Scopus,2-s2.0-77952815483
"Geyer M., Herold B., Zude M., Truppel I.","7101696383;7005202811;16305972400;7801465547;","Non-destructive evaluation of apple fruit maturity on the tree",2007,"Vegetable Crops Research Bulletin","66",,,"161","169",,14,"10.2478/v10032-007-0018-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953277722&doi=10.2478%2fv10032-007-0018-4&partnerID=40&md5=380e2639af4ee255e79d4fe35557b10c","Apple fruit; maturity development; non-destructive indices; spectral measurement",,Article,"Final","",Scopus,2-s2.0-77953277722
"Hazir M.H.M., Shariff A.R.M., Amiruddin M.D., Ramli A.R., Iqbal Saripan M.","57203506523;13612157400;54406504700;26428905000;14010419600;","Oil palm bunch ripeness classification using fluorescence technique",2012,"Journal of Food Engineering","113","4",,"534","540",,26,"10.1016/j.jfoodeng.2012.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866391550&doi=10.1016%2fj.jfoodeng.2012.07.008&partnerID=40&md5=4be9c4f839f662856a598d61e0fa194e","Classification tree; Fluorescence sensor; Grading; Oil palm FFB","Agriculture products; Classification and regression tree; Classification trees; Emission signal; Excitation light sources; Fluorescence ratio; Fluorescence sensors; Fluorescence technique; Fresh fruits; Grading system; Land resources; Malaysia; Maturity stages; Multiparameters; Non destructive; Oil extraction; Oil palm; Real time; Test components; Ultraviolet lights; Forestry; Grading; Light emitting diodes; Light sources; Research; Sensors; Fluorescence; Classification; Fluorescence; Forestry; Light Sources; Research; Sensors; Trees; Elaeis",Article,"Final","",Scopus,2-s2.0-84866391550
"Willis L.B., Gil G.A., Lee H.L.T., Choi D.-S., Schoenheit J., Ram R.J., Rha C., Sinskey A.J.","7005085399;55317405100;7501482158;49761077600;9040325000;35517089700;7003661795;35858283700;","Application of spectroscopic methods for the automation of oil palm culture",2008,"Journal of Oil Palm Research",,"SPEC. ISS. APRIL",,"1","13",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953145704&partnerID=40&md5=e38b2f48ee644c9634e991b3709152c6","Cytometry; Glucose; Raman; Spectroscopy; UV fluorescence","Elaeis",Article,"Final","",Scopus,2-s2.0-79953145704
"Keshvadi A., Endan J.B., Harun H., Ahmad D., Saleena F.","37016351800;6507161972;33167669000;7006597524;36992585200;","The effect of surface color on palm oil quality during the ripening process of fresh fruits",2011,"Journal of Food, Agriculture and Environment","9","3-4",,"61","67",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80655130276&partnerID=40&md5=aa68398041f6a60a621992287c927652","FFB; Fruit surface color; Oil extraction and fatty acids; Oil palm","fatty acid; linoleic acid; oleic acid; palm oil; palmitic acid; article; color; computer program; food quality; fruit; fruit ripening; maturity; measurement; nonhuman; plant seed; random sample; Soxhlet extraction; spectrophotometry; surface property; Elaeis; Elaeis guineensis",Article,"Final","",Scopus,2-s2.0-80655130276
"Rahman M.M., Charoenlarpnopparut C., Suksompong P., Toochinda P.","55457981600;6507666848;23494199700;6603328396;","Sensor array optimization for complexity reduction in electronic nose system",2017,"ECTI Transactions on Electrical Engineering, Electronics, and Communications","15","1",,"49","59",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014798504&partnerID=40&md5=dcd63caa1353630db60b6f79f8901d73","Electronic nose; Fc-NN; MLP; PCA; RBF; Sensor optimization; SVM",,Article,"Final","",Scopus,2-s2.0-85014798504
