Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
[No author name available],[No author id available],"IOP Conference Series: Materials Science and Engineering",2016,"IOP Conference Series: Materials Science and Engineering","138","1",,"","",151,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986300631&partnerID=40&md5=5d92aec1701dc3432b8dcc2f94f329cb",Conference Review,"Final","",Scopus,2-s2.0-84986300631
"Dariah, A., Marwanto, S., Agus, F.","57214771805;56048747300;55933424800;","Root- and peat-based CO2 emissions from oil palm plantations",2014,"Mitigation and Adaptation Strategies for Global Change","19","6",,"831","843",,39,"10.1007/s11027-013-9515-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904157009&doi=10.1007%2fs11027-013-9515-6&partnerID=40&md5=d8af40635d0675241a5c794d3411e417",Article,"Final","",Scopus,2-s2.0-84904157009
"Kaur, R., Aul, G.D., Chawla, V.","56835136700;56835615700;16201713900;","Improved reflection loss performance of dried banana leaves pyramidal microwave absorbers by coal for application in anechoic chambers",2015,"Progress In Electromagnetics Research M","43",,,"157","164",,20,"10.2528/PIERM15072602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941337457&doi=10.2528%2fPIERM15072602&partnerID=40&md5=1068fb2c9bdffd13df0b3bd142fff31e",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84941337457
"Chan, Y.K., Koo, V.C., Chuah, H.T.","9243982200;55663712200;7005188026;","The progress of unmanned aerial vehicle synthetic aperture radar development for environmental monitoring",2013,"Progress in Electromagnetics Research Symposium",,,,"983","986",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877978639&partnerID=40&md5=94c3e738a288169976e6a14f85de38fc",Conference Paper,"Final","",Scopus,2-s2.0-84877978639
"Sumriddetchkajorn, S., Intaravanne, Y.","57207609990;24724424700;","Two-dimensional fruit ripeness estimation using thermal imaging",2013,"Proceedings of SPIE - The International Society for Optical Engineering","8883",,"88831C","","",,10,"10.1117/12.2019654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883853652&doi=10.1117%2f12.2019654&partnerID=40&md5=3d92b165663a6269408c9a42d774c252",Conference Paper,"Final","",Scopus,2-s2.0-84883853652
"Shi, Y., Zhang, W., Li, Z., Wang, Y., Liu, L., Cui, Y.","57104002300;57217113924;57216843804;57211209972;57191472444;55612869800;","A “global–local” visual servo system for picking manipulators",2020,"Sensors (Switzerland)","20","12","3366","1","21",,,"10.3390/s20123366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086502678&doi=10.3390%2fs20123366&partnerID=40&md5=c139870419caba28efc88569f0a148c1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85086502678
"Guerra, M., Casquero, P.A.","12039898400;6603544935;","Site and fruit maturity influence on the quality of European plum in organic production",2009,"Scientia Horticulturae","122","4",,"540","544",,9,"10.1016/j.scienta.2009.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69249213472&doi=10.1016%2fj.scienta.2009.07.003&partnerID=40&md5=bff56b3513efb896517d0f91a0bb968f",Article,"Final","",Scopus,2-s2.0-69249213472
"Farma, R., Deraman, M., Awitdrus, A., Talib, I.A., Taer, E., Basri, N.H., Manjunatha, J.G., Ishak, M.M., Dollah, B.N.M., Hashmi, S.A.","36809494800;6602529431;54790747400;7801465202;35346209000;36674580300;34872832000;57197983726;55588421500;35580413000;","Preparation of highly porous binderless activated carbon electrodes from fibres of oil palm empty fruit bunches for application in supercapacitors",2013,"Bioresource Technology","132",,,"254","261",,245,"10.1016/j.biortech.2013.01.044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873681891&doi=10.1016%2fj.biortech.2013.01.044&partnerID=40&md5=693a23a0fe154e9142849bc581f9a2a5",Article,"Final","",Scopus,2-s2.0-84873681891
"Santillan, M.M., Japitana, M.V., Apdohan, A.G., Amora, A.M.","57190178865;55349824500;55790665400;55790150500;","Discrimination of sago palm from other palm species based on in-situ spectral response measurements",2012,"33rd Asian Conference on Remote Sensing 2012, ACRS 2012","1",,,"554","558",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880016738&partnerID=40&md5=4112e941bf9b29c475d8690d0851e1c6",Conference Paper,"Final","",Scopus,2-s2.0-84880016738
"Castro-Giráldez, M., Fito, P.J., Chenoll, C., Fito, P.","35309788700;23089848100;16743518900;14622677500;","Development of a dielectric spectroscopy technique for determining key chemical components of apple maturity",2010,"Journal of Agricultural and Food Chemistry","58","6",,"3761","3766",,12,"10.1021/jf903338b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949816796&doi=10.1021%2fjf903338b&partnerID=40&md5=8470790fd807ece9d82d389194b322ba",Article,"Final","",Scopus,2-s2.0-77949816796
"Lamade, E., Tcherkez, G., Darlan, N.H., Rodrigues, R.L., Fresneau, C., Mauve, C., Lamothe-Sibold, M., Sketriené, D., Ghashghaie, J.","6508377054;7801438744;57015593300;57014300500;6602346159;23094650900;56525336100;56525200000;6603360326;","Natural 13C distribution in oil palm (Elaeis guineensis Jacq.) and consequences for allocation pattern",2016,"Plant Cell and Environment","39","1",,"199","212",,14,"10.1111/pce.12606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955178935&doi=10.1111%2fpce.12606&partnerID=40&md5=32cb614f471329af0108fa85b323ff74",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84955178935
"Goh, Y.K., Ng, F.W., Kok, S.M., Goh, Y.K., Goh, K.J.","57220528059;56481186400;55661362100;27367980600;12040529800;","Aggressiveness of Ganoderma boninense isolates on the vegetative growth of oil palm (Elaeis guineensis) seedlings at different ages",2014,"Malaysian Applied Biology","43","2",,"9","16",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920943590&partnerID=40&md5=a0e9d7b334a1e5eb4088d49f35474341",Article,"Final","",Scopus,2-s2.0-84920943590
"MacKenzie, A.R., Langford, B., Pugh, T.A.M., Robinson, N., Misztal, P.K., Heard, D.E., Lee, J.D., Lewis, A.C., Jones, C.E., Hopkins, J.R., Phillips, G., Monks, P.S., Karunaharan, A., Hornsby, K.E., Nicolas-Perea, V., Coe, H., Gabey, A.M., Gallagher, M.W., Whalley, L.K., Edwards, P.M., Evans, M.J., Stone, D., Ingham, T., Commane, R., Furneaux, K.L., McQuaid, J.B., Nemitz, E., Seng, Y., Fowler, D., Pyle, J.A., Hewitt, C.N.","7202711754;24169008400;35265113300;56003812300;55891703200;35397875600;8760535800;7403488582;25627954400;7202387972;35265076000;7006253164;35307131400;18935000200;35364815900;7006837187;33767605600;57195257572;15058310600;57208539977;57221024547;36495880400;7003921815;18042021400;19638614700;7006252685;7003545995;25227844300;7203066817;7006532784;7202923871;","The atmospheric chemistry of trace gases and particulate matter emitted by different land uses in Borneo",2011,"Philosophical Transactions of the Royal Society B: Biological Sciences","366","1582",,"3177","3195",,23,"10.1098/rstb.2011.0053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054703808&doi=10.1098%2frstb.2011.0053&partnerID=40&md5=06536b4035c05fc5954d2b7cc19a568c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-80054703808
"Law, M.C., Balasundram, S.K., Husni, M.H.A., Ahmed, O.H., Harun, M.H.","35272879700;13403041500;6603947433;7005843323;33167669000;","Spatial variability of soil organic carbon in oil palm: A comparison between young and mature stands",2009,"International Journal of Agricultural Research","4","12",,"402","417",,9,"10.3923/ijar.2009.402.417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949551682&doi=10.3923%2fijar.2009.402.417&partnerID=40&md5=3e7f2a2c9e254d4545cca95b680e8c67",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-77949551682
"Stiegler, C., Meijide, A., Fan, Y., Ali, A.A., June, T., Knohl, A.","57213586550;16047898600;55965925000;55756948800;13008836600;6602521000;","El Niño-Southern Oscillation (ENSO) event reduces CO2 uptake of an Indonesian oil palm plantation",2019,"Biogeosciences","16","14",,"2873","2890",,6,"10.5194/bg-16-2873-2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073893967&doi=10.5194%2fbg-16-2873-2019&partnerID=40&md5=f5b58b3e5a410e61768866f5b50a8ac2",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85073893967
"Rastogi, A., Hegde, G., Manohar, T., Manohar, R.","57210477623;24175984300;57219147365;7004181881;","Effect of oil palm leaf-based carbon quantum dot on nematic liquid crystal and its electro-optical effects",2021,"Liquid Crystals","48","6",,"812","831",,1,"10.1080/02678292.2020.1817997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091462543&doi=10.1080%2f02678292.2020.1817997&partnerID=40&md5=15a71083b593382b1dc572ebf17a7993",Article,"Final","",Scopus,2-s2.0-85091462543
"Caroko, N., Saptoadi, H., Rohmat, T.A.","57217311129;53980377300;54390143900;","Comparative study on the drying of oil palm solid waste using conventional and microwave methods",2020,"Journal of Engineering Science and Technology","15","4",,"2696","2711",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090563954&partnerID=40&md5=472aeca6d98cc6a08f4295ea02dfaefd",Article,"Final","",Scopus,2-s2.0-85090563954
"Widiatmoko, P., Sukmana, I.F., Nurdin, I., Prakoso, T., Devianto, H.","56453551400;57209458346;56622993300;56523058900;12240587700;","Increasing yield of graphene synthesis from oil palm empty fruit bunch via two-stages pyrolysis",2019,"IOP Conference Series: Materials Science and Engineering","543","1","012032","","",,1,"10.1088/1757-899X/543/1/012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067818761&doi=10.1088%2f1757-899X%2f543%2f1%2f012032&partnerID=40&md5=2e1220308c849fba694518d51a76d203",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85067818761
"Baharudin, E., Ismail, A., Alhawari, A.R.H., Zainudin, E.S., Abang Abdul Majid Majid, D.L., Che Seman, F.","56027800100;55651788000;26657121900;12647194900;7004211127;25928813600;","Investigation on the dielectric properties of pulverized oil palm frond and pineapple leaf fiber for X-band microwave absorber application",2014,"Advanced Materials Research","893",,,"488","491",,,"10.4028/www.scientific.net/AMR.893.488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896386683&doi=10.4028%2fwww.scientific.net%2fAMR.893.488&partnerID=40&md5=fa2a8cacf4f4ca68523169f010cdb6b0",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84896386683
"Ooi, Z.X., Ismail, H., Bakar, A.A.","36165752600;7102329732;55629696700;","Optimisation of oil palm ash as reinforcement in natural rubber vulcanisation: A comparison between silica and carbon black fillers",2013,"Polymer Testing","32","4",,"625","630",,33,"10.1016/j.polymertesting.2013.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876466517&doi=10.1016%2fj.polymertesting.2013.02.007&partnerID=40&md5=288775ddfa0949544b2404d0d87040ed",Article,"Final","",Scopus,2-s2.0-84876466517
"Shafri, H.Z.M., Anuar, M.I., Seman, I.A., Noor, N.M.","24072139200;26423520100;16403082800;54780389900;","Spectral discrimination of healthy and ganoderma-infected oil palms from hyperspectral data",2011,"International Journal of Remote Sensing","32","22",,"7111","7129",,42,"10.1080/01431161.2010.519003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82055192137&doi=10.1080%2f01431161.2010.519003&partnerID=40&md5=2c64740df4ae6144cecaec3d4a5073a9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-82055192137
"Abdullah, M.Z., Guan, L.C., Lim, K.C., Karim, A.A.","57189587485;7101787837;7403175976;57213570102;","The applications of computer vision system and tomographic radar imaging for assessing physical properties of food",2004,"Journal of Food Engineering","61","1 SPEC.",,"125","135",,111,"10.1016/S0260-8774(03)00194-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042192001&doi=10.1016%2fS0260-8774%2803%2900194-8&partnerID=40&md5=52f88a36f7c51027d068933fee743cdc",Article,"Final","",Scopus,2-s2.0-0042192001
[No author name available],[No author id available],"Proceedings of SPIE - The International Society for Optical Engineering",2019,"Proceedings of SPIE - The International Society for Optical Engineering","11044",,,"","",197,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065622806&partnerID=40&md5=0c98da16f67f7e189b0269b0e35868d7",Conference Review,"Final","",Scopus,2-s2.0-85065622806
"Urbano Bron, I., Vasconcelos Ribeiro, R., Azzolini, M., Pedro Jacomino, A., Caruso MacHado, E.","6504186394;7202534688;8629281100;6602222063;7006260660;","Chlorophyll fluorescence as a tool to evaluate the ripening of 'Golden' papaya fruit",2004,"Postharvest Biology and Technology","33","2",,"163","173",,84,"10.1016/j.postharvbio.2004.02.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042728569&doi=10.1016%2fj.postharvbio.2004.02.004&partnerID=40&md5=8a1b5d097aa214a184467a1521c98fe7",Article,"Final","",Scopus,2-s2.0-3042728569
"Mizrach, A., Rosenhouse, G.","7003404417;7005970328;","Quality fruit",2002,"Manufacturing Engineer","81","4",,"156","158",,,"10.1049/me:20020402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036671282&doi=10.1049%2fme%3a20020402&partnerID=40&md5=c680a240767273f79bc83634c7f235ec",Article,"Final","",Scopus,2-s2.0-0036671282
"Danish, M., Nadhari, W.N.A.W., Ahmad, T., Hashim, R., Sulaiman, O., Ahmad, M., Karim, N.A., Salleh, K.M.","53763111100;36129971200;15834273000;35237015200;56463144200;35730106500;57208245318;56023649400;","Surface measurement of binderless bio-composite particleboard through contact angle and fractal surfaces",2019,"Measurement: Journal of the International Measurement Confederation","140",,,"365","372",,5,"10.1016/j.measurement.2019.03.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064228471&doi=10.1016%2fj.measurement.2019.03.049&partnerID=40&md5=087236fd0a9781378bc71aa9be38d8c9",Article,"Final","",Scopus,2-s2.0-85064228471
"Tolentino, M.A.K.P., Albano, D.R.B., Sevilla, F.B.","57195073692;15769073700;7004490430;","Piezoelectric sensor for ethylene based on silver(I)/polymer composite",2018,"Sensors and Actuators, B: Chemical","254",,,"299","306",,13,"10.1016/j.snb.2017.07.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025121186&doi=10.1016%2fj.snb.2017.07.015&partnerID=40&md5=432cda299ffc9d968ec0a7dbdec19589",Article,"Final","",Scopus,2-s2.0-85025121186
"Ahmad, T., Bustam, M.A., Irfan, M., Moniruzzaman, M., Asghar, H.M.A., Bhattacharjee, S.","56941438500;6505688496;56351425900;55393726800;55260243400;7102306232;","Quantitative growth evolution of gold nanoparticles synthesized using aqueous Elaeis guineensis (oil palm) leaves extract",2018,"Materials Chemistry and Physics","220",,,"240","248",,7,"10.1016/j.matchemphys.2018.08.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053065620&doi=10.1016%2fj.matchemphys.2018.08.057&partnerID=40&md5=6c9c518e22453a748e250d40f69cdd32",Article,"Final","",Scopus,2-s2.0-85053065620
"Su'ud, M.M., Pierre, L., Seman, I.A.","36701624700;25822684800;16403082800;","Mass function initialization rules for Ganoderma infection detection by tomography sensor",2006,"Proceedings of the 2nd IASTED International Conference on Computational Intelligence, CI 2006",,,,"377","386",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-56349142101&partnerID=40&md5=9ae259effbf5e8f584e71d1dfa3e6f1b",Conference Paper,"Final","",Scopus,2-s2.0-56349142101
"Zainuddin, N., Keni, M.F., Ibrahim, S.A.S.","57205242187;55669338500;57191475589;","Effect of biofertiliser containing different percentage rates of chemical fertiliser on oil palm seedlings",2019,"Journal of Oil Palm Research","31","4",,"582","591",,1,"10.21894/jopr.2019.0053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077597371&doi=10.21894%2fjopr.2019.0053&partnerID=40&md5=dc57a835dc66a169107482632b937289",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85077597371
"Ikhsan, M., Ramli, R.","57208733511;36004906900;","Measurements and analysis of crystal structures of activated carbon of empty fruit bunch from oil palm biomass waste",2020,"Journal of Physics: Conference Series","1528","1","012031","","",,,"10.1088/1742-6596/1528/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087044655&doi=10.1088%2f1742-6596%2f1528%2f1%2f012031&partnerID=40&md5=654ea859683ca2e2bd4249a511f45677",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85087044655
[No author name available],[No author id available],"Proceedings of the International Conference on Sensing Technology, ICST",2016,"Proceedings of the International Conference on Sensing Technology, ICST","2016-March",,,"","",857,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964911786&partnerID=40&md5=e3cd76b0ade394dfd0f87a1cfb774498",Conference Review,"Final","",Scopus,2-s2.0-84964911786
"Iqbal, Z., Herodian, S., Widodo, S.","57203683523;57189360837;22636442900;","Development of Partial Least Square (PLS) Prediction Model to Measure the Ripeness of Oil Palm Fresh Fruit Bunch (FFB) by Using NIR Spectroscopy",2019,"IOP Conference Series: Earth and Environmental Science","347","1","012079","","",,,"10.1088/1755-1315/347/1/012079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076283523&doi=10.1088%2f1755-1315%2f347%2f1%2f012079&partnerID=40&md5=ef384e86cd3980ca7ff67d66fc8d76c9",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85076283523
"Rossi, M., Alamprese, C., Ratti, S., Riva, M.","7403709085;6603205213;7005058013;7103279221;","Suitability of contact angle measurement as an index of overall oil degradation and oil uptake during frying",2009,"Food Chemistry","112","2",,"448","453",,19,"10.1016/j.foodchem.2008.05.101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47949122146&doi=10.1016%2fj.foodchem.2008.05.101&partnerID=40&md5=e48c98b672e57afadea1456a463f616e",Article,"Final","",Scopus,2-s2.0-47949122146
"Benson, B., Kastner, R.","24921440300;7004638515;","Design of a low-cost underwater acoustic modem",2017,"Optical, Acoustic, Magnetic, and Mechanical Sensor Technologies",,,,"175","209",,1,"10.1201/b11487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051994600&doi=10.1201%2fb11487&partnerID=40&md5=a596d7c57c83c18bd40ddc3e67d10cf6",Book Chapter,"Final","",Scopus,2-s2.0-85051994600
"Yang, C., Lee, W.S.","8297096200;57189999612;","Spectral signatures of blueberry fruits and leaves",2011,"American Society of Agricultural and Biological Engineers Annual International Meeting 2011, ASABE 2011","4",,,"3232","3243",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255168504&partnerID=40&md5=8a972b4427af860912d70ff7b1025d5d",Conference Paper,"Final","",Scopus,2-s2.0-81255168504
"De Alban, J.D.T., Connette, G.M., Oswald, P., Webb, E.L.","57188877573;36184937500;57191963198;7101663277;","Combined Landsat and L-band SAR data improves land cover classification and change detection in dynamic tropical landscapes",2018,"Remote Sensing","10","2","306","","",,54,"10.3390/rs10020306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042541190&doi=10.3390%2frs10020306&partnerID=40&md5=caa5af2f4f0608291c9fac5a2f4ab413",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85042541190
"Altaf, S., Ahmad, S., Zaindin, M., Soomro, M.W.","55655967100;57209916514;26536962700;55150994000;","Xbee-based wsn architecture for monitoring of banana ripening process using knowledge-level artificial intelligent technique",2020,"Sensors (Switzerland)","20","14","4033","1","17",,5,"10.3390/s20144033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088159977&doi=10.3390%2fs20144033&partnerID=40&md5=aa816d70cb095038f015c1b456bddfe9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088159977
"Cooper, H.V., Evers, S., Aplin, P., Crout, N., Dahalan, M.P.B., Sjogersten, S.","57192100368;53163448500;6701865572;7004169371;57195423638;55883605300;","Greenhouse gas emissions resulting from conversion of peat swamp forest to oil palm plantation",2020,"Nature Communications","11","1","407","","",,16,"10.1038/s41467-020-14298-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078198913&doi=10.1038%2fs41467-020-14298-w&partnerID=40&md5=dbd005837ea994846142c40241c3e0ad",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85078198913
"Fadila, A.M., Norziha, A., Din, M.A., Rajanaidu, N., Kushairi, A.","57192869849;55315246400;57192871315;6506795821;16833526200;","Evaluation of bunch index in MPOB oil palm (Elaeis guineensis Jacq.) germplasm collection",2016,"Journal of Oil Palm Research","28","4",,"442","451",,3,"10.21894/jopr.2016.2804.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008466123&doi=10.21894%2fjopr.2016.2804.05&partnerID=40&md5=213cc829a8807f1471cd352b4b83b4f8",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85008466123
"Tan, I.A.W., Ahmad, A.L., Hameed, B.H.","15842627800;15847992900;57191872951;","Enhancement of basic dye adsorption uptake from aqueous solutions using chemically modified oil palm shell activated carbon",2008,"Colloids and Surfaces A: Physicochemical and Engineering Aspects","318","1-3",,"88","96",,108,"10.1016/j.colsurfa.2007.12.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40649110696&doi=10.1016%2fj.colsurfa.2007.12.018&partnerID=40&md5=765db9d2e9676762b35a442245701803",Article,"Final","",Scopus,2-s2.0-40649110696
"Mansor, Y., Mansor, S., Zulhaidi, H., Ramli, A.R., Isola, A.I.","57168842900;6701532356;57196373500;26428905000;57196391744;","Multispectral sensors calibration for lightweight UAV",2018,"IOP Conference Series: Earth and Environmental Science","169","1","012033","","",,,"10.1088/1755-1315/169/1/012033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051969464&doi=10.1088%2f1755-1315%2f169%2f1%2f012033&partnerID=40&md5=2e9f9f839c90ece77186e4f6fe9b433d",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85051969464
"McCalmont, J., Kho, L.K., Teh, Y.A., Lewis, K., Chocholek, M., Rumpang, E., Hill, T.","56786034400;55907538000;14017063200;57214825103;36623229200;57211470265;35219951700;","Short- and long-term carbon emissions from oil palm plantations converted from logged tropical peat swamp forest",2021,"Global Change Biology","27","11",,"2361","2376",,,"10.1111/gcb.15544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101544328&doi=10.1111%2fgcb.15544&partnerID=40&md5=c13e570045178cdce9c5fd30f06f541d",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85101544328
"Legros, S., Mialet-Serra, I., Caliman, J.-P., Siregar, F.A., Clément-Vidal, A., Dingkuhn, M.","55112651200;18836696300;6506152080;6504711098;8604357200;6701914677;","Phenology and growth adjustments of oil palm (Elaeis guineensis) to photoperiod and climate variability",2009,"Annals of Botany","104","6",,"1171","1182",,43,"10.1093/aob/mcp214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350520852&doi=10.1093%2faob%2fmcp214&partnerID=40&md5=50114afe1e177c3a07ad3140b53d50a2",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-70350520852
"Delina, N.K., Ayub Wahab, I.H., Khairan, A.","57219231382;57189354771;57205540725;","The Measurement of Maturity Level in Chili's Using Index Pixel",2020,"Journal of Physics: Conference Series","1569","2","022032","","",,,"10.1088/1742-6596/1569/2/022032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091779384&doi=10.1088%2f1742-6596%2f1569%2f2%2f022032&partnerID=40&md5=aa581b08f61d2de28e1fcb745c7c3b96",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85091779384
"Irfan, M., Ahmad, T., Moniruzzaman, M.M., Abdullah, B.B., Bhattacharjee, S.","56351425900;56941438500;55393726800;36967979400;7102306232;","Ionic Liquid Mediated Biosynthesis of Gold Nanoparticles Using Elaeis Guineensis (Oil Palm) Leaves Extract",2016,"Procedia Engineering","148",,,"568","572",,14,"10.1016/j.proeng.2016.06.512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013971358&doi=10.1016%2fj.proeng.2016.06.512&partnerID=40&md5=a601395768c8e5b0c8d8128f0b4392d9",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85013971358
"Loh, Y.F., Paridah, M.T., Hoong, Y.B., Choo, A.C.Y.","35078901800;6507902476;32667736400;45460971200;","Effects of treatment with low molecular weight phenol formaldehyde resin on the surface characteristics of oil palm (Elaeis quineensis) stem veneer",2011,"Materials and Design","32","4",,"2277","2283",,28,"10.1016/j.matdes.2010.11.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79251641100&doi=10.1016%2fj.matdes.2010.11.014&partnerID=40&md5=e5cbd1e86af25277d2ef3bcd460744a7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79251641100
"Dao, H.N., Phongcharoenpanich, C., Krairiksh, M.","57193449438;6603712247;6603834855;","Narrow-Beam Antenna for Short-Distance Non-Destructive Sensor in Fruit-Ripeness Monitoring",2020,"IEEE Access","8",,"9294140","226142","226150",,,"10.1109/ACCESS.2020.3044908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098555542&doi=10.1109%2fACCESS.2020.3044908&partnerID=40&md5=59215315e73d6487117be434ae5397ee",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85098555542
"Sudarsono, A., Rasyid, M.U.H.A., Yuliana, M.","45961439100;55569020700;57189238414;","An implementation of anonymous authentication system in wireless sensor network using vlr group signature",2017,"Proceedings - 2016 International Electronics Symposium, IES 2016",,,"7861017","277","282",,,"10.1109/ELECSYM.2016.7861017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034047678&doi=10.1109%2fELECSYM.2016.7861017&partnerID=40&md5=b9491fa68ea098cb0c95eb5fa79bc184",Conference Paper,"Final","",Scopus,2-s2.0-85034047678
"Merten, J., Stiegler, C., Hennings, N., Purnama, E.S., Röll, A., Agusta, H., Dippold, M.A., Fehrmann, L., Gunawan, D., Hölscher, D., Knohl, A., Kückes, J., Otten, F., Zemp, D.C., Faust, H.","57190028991;57213586550;57004922100;57203929618;56677614800;57190020357;36052339100;15070580900;23105874800;7004015391;6602521000;57219053688;57073442600;56449397700;16244836400;","Flooding and land use change in Jambi Province, Sumatra: Integrating local knowledge and scientific inquiry",2020,"Ecology and Society","25","3","14","1","29",,3,"10.5751/ES-11678-250314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091177743&doi=10.5751%2fES-11678-250314&partnerID=40&md5=53ada67081547b4946bd9bf1d5112dd1",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85091177743
"Rahmi, Lelifajri, Julinawati, Shabrina","57210422922;57194010100;57209976080;57194009172;","Preparation of chitosan composite film reinforced with cellulose isolated from oil palm empty fruit bunch and application in cadmium ions removal from aqueous solutions",2017,"Carbohydrate Polymers","170",,,"226","233",,57,"10.1016/j.carbpol.2017.04.084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018333895&doi=10.1016%2fj.carbpol.2017.04.084&partnerID=40&md5=058d1b7238f1a453d3b57442dfa254f5",Article,"Final","",Scopus,2-s2.0-85018333895
"Raksa, C., Chalermphong, P., Simking, R.","55356356400;55356747000;55349015500;","Land use exploration for major crops using satellite images",2005,"Asian Association on Remote Sensing - 26th Asian Conference on Remote Sensing and 2nd Asian Space Conference, ACRS 2005","1",,,"203","208",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866136331&partnerID=40&md5=302a1cc62daa60192970ee7b35b9b947",Conference Paper,"Final","",Scopus,2-s2.0-84866136331
